Price_USD,Comuna,Dorms,Baths,Built Area,Total Area,Parking
997229,Colina,7,5.0,435.0,5000.0,
1365096,LasCondes,5,5.0,290.0,500.0,
1320775,LasCondes,5,5.0,293.0,800.0,
726869,Peñalolén,5,4.0,260.0,550.0,1.0
575734,Colina,4,4.0,188.0,389.0,
1418281,Colina,7,4.0,345.0,3200.0,
509695,LaFlorida,3,3.0,325.0,325.0,3.0
277008,Maipú,5,2.0,120.0,242.0,2.0
531856,Peñalolén,6,4.0,179.0,400.0,2.0
585041,Peñalolén,5,4.0,160.0,505.0,3.0
359002,Peñalolén,3,3.0,122.0,200.0,3.0
336842,Peñalolén,4,3.0,110.0,220.0,2.0
381163,LaFlorida,4,3.0,115.0,300.0,3.0
709141,Peñalolén,4,3.0,237.0,2002.0,7.0
1418281,LoBarnechea,5,5.0,350.0,750.0,2.0
376731,Ñuñoa,3,2.0,115.0,172.0,2.0
274748,PadreHurtado,4,3.0,135.0,260.0,3.0
1236564,LaReina,5,5.0,311.0,1543.0,6.0
367372,Ñuñoa,4,2.0,87.0,144.0,
1285318,LaReina,5,4.0,324.0,1105.0,5.0
487534,Providencia,5,7.0,1327.0,250.0,
97507,LaGranja,3,1.0,120.0,65.0,
1356232,LasCondes,6,5.0,402.0,1150.0,4.0
576177,Santiago,15,3.0,367.0,237.0,
105853,Conchalí,3,1.0,67.0,160.0,
731301,LasCondes,5,4.0,190.0,395.0,3.0
1551245,Colina,4,4.0,313.0,4411.0,8.0
460941,LasCondes,3,2.0,110.0,225.0,3.0
1006093,LaReina,4,4.0,260.0,830.0,
797783,LasCondes,6,4.0,240.0,226.0,4.0
1373960,LasCondes,4,4.0,380.0,960.0,3.0
1152354,LasCondes,4,2.0,300.0,1250.0,8.0
149440,Maipú,2,2.0,70.0,160.0,
82192,PuenteAlto,3,1.0,70.0,114.0,1.0
273973,Pudahuel,4,3.0,115.0,212.0,2.0
1551245,LasCondes,7,4.0,250.0,960.0,4.0
1152354,Providencia,5,4.0,240.0,500.0,5.0
2304707,LoBarnechea,6,6.0,450.0,2800.0,11.0
824376,LasCondes,6,5.0,180.0,373.0,
1440442,LoBarnechea,6,5.0,480.0,1095.0,
2614956,LasCondes,5,5.0,480.0,1240.0,10.0
2326868,LasCondes,4,3.0,488.0,2421.0,8.0
2393350,LasCondes,5,4.0,840.0,2300.0,9.0
904154,LoBarnechea,6,3.0,250.0,649.0,6.0
602770,Colina,4,6.0,160.0,825.0,4.0
602770,Colina,4,6.0,220.0,825.0,4.0
1191800,LoBarnechea,4,4.0,290.0,720.0,4.0
1130193,LoBarnechea,4,4.0,365.0,1182.0,6.0
