price_usd;comuna;habitaciones;banio;area_construida;area_total
118306;Cerrillos;3;1;85;110
173973;Cerrillos;4;2;106;112
247821;Cerrillos;3;1;130;200
261519;Cerrillos;4;3;85;147
149440;Cerrillos;4;1;110;180
195457;Cerrillos;3;2;70;120
99626;Cerrillos;3;1;;
139477;Cerrillos;3;1;60;141
123288;Cerrillos;4;2;180;200
205119;Cerrillos;2;1;51;672
161893;Cerrillos;3;2;83;128
105853;Cerrillos;3;1;49;70
260274;Cerrillos;6;3;183;282
221562;Cerrillos;3;2;96;371
115816;Cerrillos;3;1;48;125
161893;Cerrillos;3;1;103;250
155666;Cerrillos;4;3;;
168421;Cerrillos;4;2;130;107
249066;CerroNavia;5;1;290;333
158670;CerroNavia;2;3;122;134
155666;CerroNavia;3;;130;192
105853;CerroNavia;4;1;90;95
155666;CerroNavia;4;2;157;160
95890;CerroNavia;2;2;97;69
143213;CerroNavia;6;3;114;162
155125;CerroNavia;7;4;168;190
124533;CerroNavia;2;1;90;90
149440;CerroNavia;3;2;150;180
124533;CerroNavia;5;1;102;160
99626;CerroNavia;2;1;70;162
99626;CerroNavia;3;1;95;198
199253;CerroNavia;7;4;130;167
174346;CerroNavia;4;1;270;270
93075;CerroNavia;2;1;66;160
93400;CerroNavia;4;2;76;110
249066;CerroNavia;4;4;306;316
174346;CerroNavia;12;;270;480
473225;CerroNavia;10;5;326;163
87173;CerroNavia;2;1;43;53
74097;CerroNavia;9;3;187;162
249066;CerroNavia;1;1;300;300
114570;CerroNavia;2;1;42;200
74097;CerroNavia;4;1;;
102117;CerroNavia;4;2;114;70
141828;CerroNavia;3;1;95;162
80946;CerroNavia;3;1;70;128
77210;CerroNavia;2;1;57;0
173101;CerroNavia;7;5;204;204
123288;CerroNavia;4;2;119;144
70984;CerroNavia;3;1;59;66
168120;CerroNavia;4;1;104;160
205479;CerroNavia;3;2;124;300
87173;CerroNavia;3;1;90;70
99626;CerroNavia;2;1;55;162
74097;CerroNavia;4;1;37;95
149440;CerroNavia;5;2;210;160
102117;CerroNavia;2;;;0
174346;CerroNavia;5;4;150;203
83437;CerroNavia;4;2;76;110
67248;CerroNavia;2;1;43;53
236613;CerroNavia;5;3;220;460
130760;CerroNavia;3;1;218;218
83437;CerroNavia;4;2;76;110
152465;CerroNavia;3;1;117;331
108344;CerroNavia;3;1;70;120
117451;CerroNavia;5;2;;162
118306;CerroNavia;5;1;;162
99626;CerroNavia;3;2;100;175
102117;CerroNavia;4;2;120;248
199446;CerroNavia;3;1;75;162
291944;CerroNavia;5;2;;499
93400;Colina;3;1;103;73
66002;Colina;2;1;57;67
93400;Colina;3;1;70;80
440997;Colina;3;3;118;350
749030;Colina;4;3;270;580
598337;Colina;3;3;167;400
403324;Colina;5;4;139;330
105853;Colina;2;1;52;91
456509;Colina;3;3;135;135
554016;Colina;6;4;170;610
611634;Colina;4;;270;4500
513684;Colina;5;4;178;495
686980;Colina;6;4;240;1110
309806;Colina;4;3;108;424
314681;Colina;4;3;115;350
390027;Colina;5;3;128;422
997229;Colina;7;5;435;5000
575734;Colina;4;4;188;389
1418281;Colina;7;4;345;3200
1551245;Colina;4;4;313;4411
602770;Colina;4;6;160;825
602770;Colina;4;6;220;825
675900;Colina;3;4;150;518
1196675;Colina;5;1;450;5000
332454;Colina;5;4;146;393
660387;Colina;5;7;250;5000
970636;Colina;6;5;370;5000
1227700;Colina;4;4;296;5016
616066;Colina;5;5;166;619
106371;Colina;2;1;52;91
68493;Colina;2;2;59;67
749030;Colina;5;5;175;510
828808;Colina;4;4;540;3500
2614513;Colina;5;5;583;3700
421052;Colina;3;4;140;450
819944;Colina;4;4;200;5000
629362;Colina;4;5;166;619
575734;Colina;4;4;140;447
646204;Colina;5;4;180;560
642216;Colina;4;4;160;600
587257;Colina;3;4;178;469
1310492;Colina;7;4;539;5000
365651;Colina;3;2;110;5000
149440;Colina;3;1;90;135
180573;Colina;4;3;84;194
180573;Colina;4;3;84;194
1108032;Colina;5;5;307;2880
740166;Colina;4;4;188;748
478670;Colina;3;3;130;430
837672;Colina;5;4;902;284
4210523;Colina;6;8;1046;4820
1108032;Colina;6;4;487;5022
1041550;Colina;5;6;474;5062
952908;Colina;6;4;400;5188
234903;Colina;3;2;81;140
775623;Colina;5;4;250;820
527423;Colina;3;2;140;350
84210;Colina;3;2;120;202
190582;Colina;3;2;80;120
881994;Colina;6;5;400;5595
2659278;Colina;5;7;780;5300
908587;Colina;4;3;240;4500
704709;Colina;4;3;220;5000
1240996;Colina;4;1;345;5000
1418281;Colina;5;4;460;2860
487534;Colina;4;4;183;438
350138;Colina;4;3;140;450
560664;Colina;3;3;140;630
487534;Colina;3;3;140;300
952908;Colina;3;4;375;860
93400;Colina;3;2;85;78
1218836;Colina;6;7;340;3970
690969;Colina;4;3;200;5000
877562;Colina;5;4;;
89664;Colina;4;1;88;88
487534;Colina;3;3;140;420
354127;Colina;5;3;140;500
553573;Colina;3;3;188;389
837672;Colina;3;3;436;770
837672;Colina;3;3;436;770
436565;Colina;4;4;167;350
554016;Colina;3;3;139;380
1196675;Colina;5;5;260;5000
108366;Colina;5;2;160;480
606759;Colina;5;3;218;512
660387;Colina;4;4;182;579
567313;Colina;4;3;140;514
77210;Colina;4;1;90;110
878492;Colina;5;7;336;5000
620055;Colina;4;4;225;430
686537;Colina;3;3;170;674
487091;Colina;6;5;220;5000
487091;Colina;6;5;220;5000
421052;Colina;4;3;300;5000
80946;Colina;5;2;87;92
172853;Colina;3;3;80;190
815512;Colina;5;5;222;508
797340;Colina;4;3;245;650
545152;Colina;6;5;268;6924
611634;Colina;3;4;140;350
190582;Colina;3;3;79;90
