price_usd;comuna;dorm;bath;built_area;total_area;parqking
1019390;LaReina;4;2;230;1000;
797783;Peñaflor;5;4;787;5000;10
797783;Peñalolén;3;3;217;920;3
952908;LaReina;4;3;145;803;5
775623;LoBarnechea;5;4;211;300;2
1404985;LoBarnechea;5;4;295;707;3
1684209;LoBarnechea;6;4;392;961;3
2282547;LoBarnechea;7;5;653;1381;3
1418281;LoBarnechea;5;4;271;1100;
873130;LasCondes;5;3;160;684;5
526980;Vitacura;3;3;90;178;1
2211633;Vitacura;6;6;450;1002;5
1462603;LoBarnechea;4;4;334;795;
1639888;LoBarnechea;4;4;333;811;5
1772852;LoBarnechea;4;4;335;809;5
2038780;LoBarnechea;6;4;520;1820;3
1728531;LoBarnechea;6;4;375;900;3
1551245;LoBarnechea;6;4;448;1428;
2304707;LoBarnechea;8;7;908;4844;6
664819;LoBarnechea;6;3;178;321;
828808;Colina;4;4;540;3500;
137396;PuenteAlto;3;2;75;139;
1316342;LoBarnechea;6;5;295;858;
839889;Vitacura;6;3;210;400;3
795567;Peñalolén;5;4;250;670;4
99626;Santiago;2;1;56;92;1
1462603;LoBarnechea;5;7;650;1600;8
374515;LaFlorida;3;3;136;200;
1108032;Vitacura;5;4;236;477;1
797783;Vitacura;5;4;146;178;1
1235678;LoBarnechea;5;5;265;720;3
2614513;Colina;5;5;583;3700;4
1174071;LoBarnechea;5;4;306;1020;2
1418281;LoBarnechea;5;6;417;1323;6
2082658;Vitacura;5;4;400;1059;4
1439999;LasCondes;5;4;360;1700;
2216065;Vitacura;4;3;600;2000;
1063711;LoBarnechea;5;3;228;668;3
132521;Lampa;3;2;68;200;
460941;Ñuñoa;4;3;180;330;2
398892;LaFlorida;3;3;115;300;2
345706;LaFlorida;3;3;123;335;
908587;LoBarnechea;6;4;232;327;3
704709;LoBarnechea;5;4;140;342;2
2216065;LasCondes;5;4;440;1700;5
975068;Providencia;8;6;373;615;2
1280885;Providencia;6;2;314;750;6
421052;Colina;3;4;140;450;2
819944;Colina;4;4;200;5000;14
886426;LasCondes;4;1;174;485;
686980;LasCondes;4;4;170;300;2
988365;PuenteAlto;4;3;211;1320;
2038780;LoBarnechea;4;6;349;1142;4
345706;LaFlorida;3;4;197;446;
629362;Colina;4;5;166;619;3
576177;LasCondes;4;2;133;306;4
669252;LoBarnechea;5;4;140;321;2
1323877;LoBarnechea;5;4;369;2080;8
575734;Colina;4;4;140;447;5
646204;Colina;5;4;180;560;2
775623;Peñalolén;4;3;200;2000;
1728531;LoBarnechea;6;5;380;1230;5
3324097;Vitacura;6;5;1000;5600;8
642216;Colina;4;4;160;600;
642659;LoBarnechea;6;4;140;277;
472687;Ñuñoa;3;1;65;328;
587257;Colina;3;4;178;469;
1063711;Vitacura;4;4;131;375;
731301;LasCondes;4;3;160;504;3
150692;LaCisterna;3;1;60;150;
708919;LasCondes;5;4;300;437;5
616066;LasCondes;5;3;141;435;2
1329639;Vitacura;4;3;393;485;
2083101;Vitacura;6;6;409;1400;
1462603;LasCondes;5;4;401;1820;3
311800;Santiago;6;3;263;201;
1310492;Colina;7;4;539;5000;
540720;LoBarnechea;5;4;120;360;
